175.157.36.75 - - [08/Oct/2022:13:39:51 +0530] "GET /assets/character/nancy.png HTTP/2.0" 200 5576 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:51 +0530] "GET /assets/map/map.json HTTP/2.0" 200 827612 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:51 +0530] "GET /manifest.json HTTP/2.0" 200 492 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:53 +0530] "GET /logo192.png HTTP/2.0" 200 35456 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:53 +0530] "OPTIONS /matchmake/joinOrCreate/skyoffice HTTP/2.0" 204 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:53 +0530] "POST /matchmake/joinOrCreate/skyoffice HTTP/2.0" 200 302 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:54 +0530] "GET /HqlEme4Ev/GFL7aKlbU?sessionId=VA1czT2dl HTTP/1.1" 101 24 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:55 +0530] "GET /fonts/avenir-pro-roman.woff2 HTTP/2.0" 200 25724 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:55 +0530] "GET /fonts/avenir-pro-black.woff2 HTTP/2.0" 200 26240 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:39:55 +0530] "GET /fonts/avenir-pro-heavy.woff2 HTTP/2.0" 200 26268 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
66.249.71.182 - - [08/Oct/2022:13:41:00 +0530] "GET /Conceptual_Physics_Wave_And_Sound_Quiz_Answers/context?t=L0I5U2 HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
175.157.36.75 - - [08/Oct/2022:13:43:35 +0530] "OPTIONS /token HTTP/2.0" 204 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:43:35 +0530] "POST /token HTTP/2.0" 200 415 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
66.249.71.216 - - [08/Oct/2022:13:43:41 +0530] "GET /Campbell_And_Reece_Biology_9th_Edition/view?f=O0J7X5 HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.68.86 - - [08/Oct/2022:13:44:00 +0530] "GET /Miami_University_Exam_Schedule/fulldisplay?s=G6C8D6 HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
45.233.247.107 - - [08/Oct/2022:13:44:06 +0530] "GET / HTTP/1.1" 301 162 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36"
66.249.71.214 - - [08/Oct/2022:13:45:01 +0530] "GET /St_Stithians_Past_Papers_Grade_11/:~:text?b=H1H0U3 HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.5195.125 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
79.104.53.14 - - [08/Oct/2022:13:50:40 +0530] "GET / HTTP/1.1" 200 2356 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:59.0) Gecko/20100101 Firefox/59.0"
175.157.36.75 - - [08/Oct/2022:13:50:41 +0530] "GET /static/css/2.efad5152.chunk.css HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:50:41 +0530] "GET /static/css/main.d2bb7ab6.chunk.css HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:50:42 +0530] "GET /manifest.json HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:50:42 +0530] "GET /static/css/main.d2bb7ab6.chunk.css.map HTTP/2.0" 200 4148 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:50:42 +0530] "GET /static/css/2.efad5152.chunk.css.map HTTP/2.0" 200 8366 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:51:09 +0530] "GET /HqlEme4Ev/kriqONMhG?sessionId=IT8oWs_Mf HTTP/1.1" 101 6035 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
44.196.21.98 - - [08/Oct/2022:13:51:29 +0530] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:30 +0530] "GET / HTTP/1.1" 200 2356 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:30 +0530] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:31 +0530] "GET / HTTP/1.1" 200 2356 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:31 +0530] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:32 +0530] "GET / HTTP/1.1" 200 2356 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:33 +0530] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:33 +0530] "GET / HTTP/1.1" 404 139 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:34 +0530] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:35 +0530] "GET / HTTP/1.1" 404 139 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:35 +0530] "GET / HTTP/1.1" 301 162 "-" "python-requests/2.18.4"
44.196.21.98 - - [08/Oct/2022:13:51:36 +0530] "GET / HTTP/1.1" 404 139 "-" "python-requests/2.18.4"
175.157.36.75 - - [08/Oct/2022:13:52:29 +0530] "GET / HTTP/2.0" 304 0 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:29 +0530] "GET /static/js/2.5190dd2c.chunk.js HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:29 +0530] "GET /static/js/main.ef9c3c18.chunk.js HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/cloud_day.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/cloud_day.json HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/backdrop_day.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/cloud_night.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/cloud_night.json HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/backdrop_night.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/background/sun_moon.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/map/FloorAndGround.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/items/chair.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:32 +0530] "GET /assets/items/computer.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:33 +0530] "GET /assets/items/Modern_Office_Black_Shadow.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:33 +0530] "GET /assets/map/map.json HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:33 +0530] "GET /assets/items/Basement.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:33 +0530] "GET /assets/items/whiteboard.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:33 +0530] "GET /assets/items/Generic.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
175.157.36.75 - - [08/Oct/2022:13:52:33 +0530] "GET /assets/character/adam.png HTTP/2.0" 304 0 "https://office.kit.cyber.lk/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
